totalCount,Monica,Ross,Rachel,Joey,Chandler,Phoebe,MonicaCount,RossCount,RachelCount,JoeyCount,ChandlerCount,PhoebeCount
396.65,58.21,75.78999999999999,64.92,54.66999999999999,78.31,64.74999999999999,882,975,852,643,834,650
406.93,71.9,81.84999999999998,80.84,60.77999999999998,54.24,57.31999999999999,797,909,811,654,784,666
416.62,66.28999999999998,83.98000000000002,73.05,58.88000000000001,70.27,64.14999999999999,860,1076,929,780,842,793
439.39,67.07999999999998,88.88000000000001,77.92999999999999,64.69,73.21000000000002,67.6,820,861,967,844,983,734
461.2299999999999,89.38999999999999,63.63,80.96,74.35999999999999,85.21999999999998,67.66999999999999,914,870,918,942,948,816
513.5899999999999,78.94999999999999,76.44,88.22,90.59000000000002,100.0,79.38999999999999,910,913,993,911,1040,792
462.6099999999999,74.07,73.80999999999997,94.36,69.30999999999997,77.65999999999997,73.4,907,822,1093,939,849,810
461.87,69.23999999999997,88.40999999999998,83.66,82.49999999999999,61.93000000000001,76.13000000000001,812,984,1086,909,677,773
488.5899999999999,95.65,81.87999999999998,72.50999999999998,76.67999999999996,83.49,78.37999999999998,908,879,904,859,918,800
441.86,63.86999999999998,89.67,77.25999999999999,65.82999999999998,68.49999999999999,76.72999999999999,687,871,775,727,693,702
