Season,Episode,Title,Abstract,Director,Rating,Character,Colour
6,9,The One Where Ross Got High,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,Kevin Bright,9.2,Ross,#85a2be
6,10,The One with the Routine,On the set of Dick Clark's New Year's Rockin' Eve Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile Rachel Phoebe and Chandler look for Monica's Christmas presents.,Kevin Bright,8.6,Joey,#76a47d
6,11,The One with the Apothecary Table,Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile Rachel buys an apothecary table from a store that Phoebe hates.,Kevin Bright,8.1,Joey,#76a47d
6,12,The One with the Joke,Chandler and Ross argue over a joke. Meanwhile Joey reluctantly takes a waiter job at Central Perk and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.,Gary Halvorson,8.1,Joey,#76a47d
6,13,The One with Rachel's Sister,Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile Monica won't admit that she is sick.,Gary Halvorson,8.2,Rachel,#eab913
6,14,The One Where Chandler Can't Cry,Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry Monica tries to make it happen. The gang discovers that Phoebe's sister Ursula is a porn star and is using Phoebe's name.,Kevin Bright,8.6,Rachel,#eab913
6,15,The One That Could Have Been,When Rachel hears Barry and Mindy are getting divorced the gang wonder how different their lives could have been.,Michael Lembeck,8.5,Joey,#76a47d
6,16,The One That Could Have Been,The gang continue to think about how different their lives could have been.,Michael Lembeck,8.5,Chandler,#d8873a
6,17,The One with Unagi,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,Gary Halvorson,9.1,Ross,#85a2be
6,18,The One Where Ross Dates a Student,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,Gary Halvorson,8.3,Ross,#85a2be
6,19,The One with Joey's Fridge,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,Ben Weiss,8.3,Ross,#85a2be
6,20,The One with Mac and C.H.E.E.S.E.,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,Kevin Bright,7.4,Joey,#76a47d
6,21,The One Where Ross Meets Elizabeth's Dad,Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from 'Mac and C.H.E.E.S.E.' after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.,Michael Lembeck,8.6,Joey,#76a47d
6,22,The One Where Paul's the Man,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,Gary Halvorson,9.0,Rachel,#eab913
6,23,The One with the Ring,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,Gary Halvorson,8.6,Chandler,#d8873a
6,24,The One with the Proposal,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,Kevin Bright,8.8,Chandler,#d8873a
6,25,The One with the Proposal,Chandler continues to pretend to hate the idea of marriage unaware Richard wants Monica back. Meanwhile Rachel and Phoebe discuss their 'back-up' plans.,Kevin Bright,9.3,Monica,#be0a09
7,1,The One with Monica's Thunder,The gang celebrate Monica and Chandler's engagement however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition.,Kevin Bright,8.4,Monica,#be0a09
7,2,The One with Rachel's Book,Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.,Michael Lembeck,8.3,Monica,#be0a09
7,3,The One with Phoebe's Cookies,Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile Rachel tries to teach Joey how to sail and Chandler has an awkward encounter when he tries to bond with Jack.,Gary Halvorson,8.1,Rachel,#eab913
7,4,The One with Rachel's Assistant,Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on 'Days of Our Lives'.,David Schwimmer,8.1,Rachel,#eab913
7,5,The One with the Engagement Picture,Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.,Gary Halvorson,8.1,Rachel,#eab913
7,6,The One with the Nap Partners,Joey and Ross accidentally take a nap together - and much to their dismay find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.,Gary Halvorson,8.9,Rachel,#eab913
7,7,The One with Ross's Library Book,Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the wedding. They try to avoid her. Meanwhile Rachel and Phoebe befriend Joey's girlfriend.,David Schwimmer,8.5,Joey,#76a47d
7,8,The One Where Chandler Doesn't Like Dogs,Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush Tag during Thanksgiving dinner. Phoebe sneaks a dog into the apartment making Chandler extremely nervous.,Kevin Bright,8.2,Rachel,#eab913
7,9,The One with All the Candy,Monica makes candy to get to know her neighbours. Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.,David Schwimmer,8.1,Rachel,#eab913
7,10,The One with the Holiday Armadillo,Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,Gary Halvorson,8.5,Phoebe,#B88194
7,11,The One with All the Cheesecakes,Chandler refuses to give back a cheesecake accidentally delivered to his apartment. Phoebe gets angry with Joey when he blows off dinner with her for a date.,Gary Halvorson,8.6,Phoebe,#B88194
7,12,The One Where They're Up All Night,After the gang head up to the roof to see a passing comet separate events unfold that lead to them all having a sleepless night.,Kevin Bright,8.7,Rachel,#eab913
7,13,The One Where Rosita Dies,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,Stephen Prime,8.4,Phoebe,#B88194
7,14,The One Where They All Turn Thirty,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,Ben Weiss,8.6,Rachel,#eab913
7,15,The One with Joey's New Brain,Joey gets training from the actress he is replacing on 'Days of Our Lives'. Rachel and Phoebe find a cute guy's cellphone in Central Perk and fight over who gets to call him to return it. Ross practices playing bagpipes for Monica and Chandler's wedding much to their horror.,Kevin Bright,8.4,Joey,#76a47d
7,16,The One with the Truth About London,Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile Rachel gets into trouble with Ross when she teaches Ben practical jokes.,David Schwimmer,8.7,Joey,#76a47d
7,17,The One with the Cheap Wedding Dress,Monica Rachel and Phoebe go to a wedding-dress sale to buy the dress Monica picked out. Ross has a date with Kristen who just moved in across the street but the problem is that Joey had a date with her too. They will let Kristen decide who she wants but she walks away when she hears the guys playing each other out.,Kevin Bright,8.4,Ross,#85a2be
7,18,The One with Joey's Award,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel convinces him to take it back because he can't be happy with an award he didn't win. One of Ross' students failed the midterms because he is in love with Ross and can't concentrate in class so Ross changes his grade. But now more students come to Ross pretending to be in love with him in order to get a better grade. When Rachel and Joey take the Soapy back the real winner just throws it away saying it's not good enough for her so Joey takes it back home. Monica really loves Chandler but it scares her that she will never have the rush of the beginning of meeting someone new again. Chandler reassures her and she realizes she is going to have a lot of new things with Chandler as well.,Gary Halvorson,8.4,Joey,#76a47d
7,19,The One with Ross and Monica's Cousin,Joey auditions for a naked role in a big movie. Rachel and Phoebe plan Monica's wedding shower. Ross becomes attracted to his cousin after she visits.,Gary Halvorson,8.7,Monica,#be0a09
7,20,The One with Rachel's Big Kiss,Rachel's college friend can't remember a scandalous kiss from the past. Chandler and Ross argue for possession of Val Kilmer's tuxedo.,Gary Halvorson,8.4,Rachel,#eab913
7,21,The One with the Vows,Monica and Chandler are getting married in four weeks and have to write their vows but neither has a clue what to say so they reflect on their past.,Gary Halvorson,7.5,Chandler,#d8873a
7,22,The One with Chandler's Dad,Ross and Rachel hit the freeway together when Monica's Porsche shows up again. Chandler and Monica go off to Vegas to find Chandler's estranged dad.,Kevin Bright,8.4,Chandler,#d8873a
7,23,The One with Monica and Chandler's Wedding: Part 1,So close to the wedding Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile Joey acts opposite a famous actor in a movie but can't bring himself to tell him that he spits when he says his lines.,Kevin Bright,8.9,Ross,#85a2be
7,24,The One with Monica and Chandler's Wedding: Part 2,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,Kevin Bright,9.2,Joey,#76a47d
8,1,The One After I Do,The gang learns that Rachel is pregnant. Joey tries to impress a Broadway director who's dating Chandler's mom. Chandler's shoes make it hard for him to dance.,Kevin Bright,8.7,Joey,#76a47d
8,2,The One with the Red Sweater,Monica Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.,David Schwimmer,9.1,Phoebe,#B88194
8,3,The One Where Rachel Tells...,Monica and Chandler leave for their honeymoon. Joey and Phoebe don't have a key to Monica and Chandler's apartment and need to get in so they tell Treeger that there's a gas leak. A fireman comes to break the door in so they have to explain the broken door to Monica. Rachel finally tells Ross that she is pregnant and he's shocked - but he promises to be there for her - he even wants to marry her. Rachel doesn't want to marry Ross because they're not in love and she is certain that she can raise the child on her own. They go to the doctor together and look at the first picture of their baby.,Sheldon Epps,8.7,Ross,#85a2be
8,4,The One with the Videotape,Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly everyone wants to see it.,Kevin Bright,9.3,Ross,#85a2be
8,5,The One with Rachel's Date,Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim Monica can finally fire him. Rachel has a date with Kash a co-star on 'Days of Our Lives'. Ross thinks it's weird because whoever takes Rachel out takes his baby out too. He always pictured that his next child would grow up in a happy family. Rachel's date was terrible because she made the mistake of mentioning she was pregnant. Ross reassures her it isn't so bad because when she has the baby she will love someone more than she ever loved anyone.,Gary Halvorson,8.1,Ross,#85a2be
8,6,The One with the Halloween Party,Monica and Chandler decide to throw a Halloween party. Phoebe runs into Ursula and her fiancée who knows nothing about the real Ursula.,Gary Halvorson,8.5,Phoebe,#B88194
8,7,The One with the Stain,Chandler hires a maid whom Monica suspects is stealing her clothing. Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe.,Kevin Bright,7.9,Rachel,#eab913
8,8,The One with the Stripper,Chandler finds out that Monica had a bachelorette party with a stripper even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with Rachel's dad because she is afraid her dad will be really angry when she tells him she's pregnant. Mr. Green is delighted to hear he will be a grandfather but freaks out when he finds out that Rachel isn't getting married so she just tells him that Ross won't marry her. Monica feels bad about having had a bachelorette party so she organizes a bachelor party including a stripper for Chandler. Joey is the only guest because Ross has a date with Mona that night and Chandler is embarrassed and doesn't really want to have the party at all. The stripper arrives but turns out to be a hooker. Mr. Green goes to see Ross to yell at him but unfortunately for Ross Mona is there too so they both start yelling at him. Rachel explains everything to her dad and to Mona who makes up with Ross.,David Schwimmer,8.8,Rachel,#eab913
8,9,The One with the Rumor,Monica invites Will an old school friend of her and Ross over for Thanksgiving dinner unaware he isn't too fond of Rachel.,Gary Halvorson,9.3,Monica,#be0a09
8,10,The One with Monica's Boots,Monica's expensive new boots hurt her feet but she's determined to prove to Chandler that her purchase was worth it. Ben goes to school with Sting's son.,Kevin Bright,8.1,Phoebe,#B88194
8,11,The One with Ross's Step Forward,Joey wants to take Rachel to dinner on a pretend date to practice his dating skills but soon develops romantic feelings for her. Monica Phoebe and Chandler are addicted to Mrs. Pacman.,Gary Halvorson,8.0,Ross,#85a2be
8,12,The One Where Joey Dates Rachel,Joey wants to take Rachel to dinner on a pretend date to practice his dating skills but soon develops romantic feelings for her. The gang is addicted to Mrs. Pacman.,David Schwimmer,8.5,Rachel,#eab913
8,13,The One Where Chandler Takes a Bath,Monica turns Chandler on to the concept of taking a bath to relax. Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.,Ben Weiss,8.6,Monica,#be0a09
8,14,The One with the Secret Closet,Chandler's very curious about a locked closet but Monica won't tell him what is inside.,Kevin Bright,8.2,Joey,#76a47d
8,15,The One with the Birthing Video,During Valentine's Day Chandler discovers the miracle of birth seeing an extremely graphic video.,Kevin Bright,8.4,Ross,#85a2be
8,16,The One Where Joey Tells Rachel,Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don who she thinks is Monica's soul-mate and introduces Don to Monica to see what will happen. Monica and Don get along perfectly. Ross goes to tell Joey that he doesn't hate him and Joey promises to never act on his feelings for Rachel because he won't jeopardize his friendship to Ross. But when Ross realizes that Joey really is in love for the first time he tells Joey to tell Rachel. When Joey tells Rachel it is clear that she doesn't feel the same way about Joey and they both start crying.,Ben Weiss,8.3,Joey,#76a47d
8,17,The One with the Tea Leaves,Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey so she takes Monica's advice to change the subject to something work-related. However in another uncomfortable conversation she manages to convince Joey that her boss Mr. Zelner wants to buy her baby. When Phoebe resumes reading tea leaves she sees that she'll meet the man of her dreams soon and takes that to be Jim who she keeps bumping into. However she soon finds he isn't quite that nice and may be too crazy even for her! Ross is determined to get his favorite pink ('light salmon shade') shirt back from Mona's so he sneaks in with the key and dives behind the couch when she enters with a studly new lover.,Gary Halvorson,8.1,Rachel,#eab913
8,18,The One in Massapequa,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island. Monica struggles to prepare the perfect toast. Phoebe invites her new boyfriend Parker.,Gary Halvorson,8.2,Ross,#85a2be
8,19,The One with Joey's Interview,Joey prepares for his epic interview with Soap Opera Digest reminiscing about his past acting experiences his friends and his romantic life.,Gary Halvorson,7.5,Joey,#76a47d
8,20,The One with the Baby Shower,Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile Joey auditions for a job as a host for a new game show called 'Bamboozled' and Chandler and Ross help him practice.,Kevin Bright,8.2,Rachel,#eab913
8,21,The One with the Cooking Class,Monica's restaurant get a bad review. After confronting the critic who wrote it she decides to join a cooking class with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.,Gary Halvorson,8.2,Rachel,#eab913
8,22,The One Where Rachel Is Late,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable. Chandler falls asleep at Joey's big movie premiere.,Gary Halvorson,8.3,Rachel,#eab913
8,23,The One Where Rachel Has a Baby: Part 1,Ross and Rachel go to the hospital to have their baby but it's a long labor. They get stuck in a semi-private room and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband. Chandler and Monica decide to start trying to have a baby.,Kevin Bright,8.8,Ross,#85a2be
8,24,The One Where Rachel Has a Baby: Part 2,After Rachel gives birth to her baby she must confront relationship issues around her.,Kevin Bright,8.9,Rachel,#eab913
9,1,The One Where No One Proposes,Rachel thinks that Joey has proposed to her. Monica and Chandler begin trying to have a baby.,Kevin Bright,8.6,Ross,#85a2be
9,2,The One Where Emma Cries,Chandler having trouble getting enough sleep at home falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.,Sheldon Epps,8.5,Rachel,#eab913
9,3,The One with the Pediatrician,Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica because she has got a great job offer.,Roger Christiansen,8.2,Monica,#be0a09
9,4,The One with the Sharks,Monica thinks Chandler is aroused by shark documentaries.,Ben Weiss,8.2,Phoebe,#B88194
9,5,The One with Phoebe's Birthday Dinner,Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner due to a series of problems.,David Schwimmer,8.5,Chandler,#d8873a
9,6,The One with the Male Nanny,Looking for a new nanny Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.,Kevin Bright,8.4,Ross,#85a2be
9,7,The One with Ross's Inappropriate Song,Ross finds a way to make Emma laugh - singing 'Baby Got Back'. Meanwhile Phoebe meets Mike's parents and Joey and Chandler find a video tape in Richard's apartment.,Gary Halvorson,8.7,Phoebe,#B88194
9,8,The One with Rachel's Other Sister,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,Kevin Bright,8.8,Chandler,#d8873a
9,9,The One with Rachel's Phone Number,Rachel is ready to start hanging out again. She and Phoebe go to a bar where they meet two guys.,Ben Weiss,8.2,Rachel,#eab913
9,10,The One with Christmas in Tulsa,Chandler must spend Christmas in Tulsa which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.,Kevin Bright,7.5,Chandler,#d8873a
9,11,The One Where Rachel Goes Back to Work,Chandler starts looking for a job and is anxious about having a baby Rachel decides to go back to work and Phoebe works as an extra on Joey's show.,Gary Halvorson,8.0,Rachel,#eab913
9,12,The One with Phoebe's Rats,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,Ben Weiss,8.0,Rachel,#eab913
9,13,The One Where Monica Sings,A night at Mike's piano bar gives Monica a very showy moment in the spotlight. Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,Gary Halvorson,8.2,Ross,#85a2be
9,14,The One with the Blind Dates,Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,Gary Halvorson,8.2,Joey,#76a47d
9,15,The One with the Mugging,Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk. Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as advertising writer.,Gary Halvorson,8.3,Joey,#76a47d
9,16,The One with the Boob Job,When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting a boob job. Phoebe asks Mike to move in with her but decides not to when she and Mike argue about their future. Rachel attempts to baby-proof the apartment but makes Joey go insane when he can't open anything.,Gary Halvorson,8.2,Phoebe,#B88194
9,17,The One with the Memorial Service,When Chandler and Ross joke around on their college website Ross is accused of being dead which leads to the fact that he was not popular in college. Joey is not willing to give his favorite stuffed animal Hugsy to Emma. Monica helps Phoebe not call Mike.,Gary Halvorson,8.5,Ross,#85a2be
9,18,The One with the Lottery,Hoping to win a huge jackpot the friends pool their money and buy dozens of lottery tickets. However they bicker over how to spend the fortune if they win and Monica irritates everyone else by buying tickets just for her and Chandler.,Gary Halvorson,8.6,Monica,#be0a09
9,19,The One with Rachel's Dream,After Rachel goes to the 'Days of our Lives' set with Joey she has a romantic dream about him or is she having a dream about Drake? Chandler surprises Monica with a weekend getaway. Although she can't go Chandler takes Ross instead. Phoebe drives everyone away from Monica's restaurant with her bad singing.,Terry Hughes,8.1,Monica,#be0a09
9,20,The One with the Soap Opera Party,Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,Sheldon Epps,8.2,Ross,#85a2be
9,21,The One with the Fertility Test,Still unable to conceive Monica and Chandler decide to get tests done at a fertility clinic where they run into Chandler's favorite ex Janice. Rachel receives a gift certificate for a free massage at a chain massage center. Phoebe chastises Rachel for even thinking about going to a massage chain which she feels takes away business from independent massage therapists like herself. however Phoebe actually works at this specific massage chain. Rachel says she won't go and even tears up the gift certificate but she later tapes it back together goes for her free massage and gets Phoebe as her masseuse. Joey and Charlie's relationship progresses. Joey confides in Ross that Charlie might be too smart for him. As Charlie wants to go to the 'Met' (not to see 'The Mets' as Joey originally assumes) Ross coaches Joey on the museum's layout and certain paintings on a planned route through the museum.,Gary Halvorson,8.2,Ross,#85a2be
9,22,The One with the Donor,After finding about their chances of getting pregnant Monica and Chandler search for the perfect guy to give them his sperm to get them a baby. Ross works on writing his speech. Charlie goes shopping with Phoebe and Rachel which makes Charlie think Phoebe likes Joey. Phoebe shops for the perfect dress for a party that Mike is going to be at but she bumps into David on the way and forgets about the party. Monica and Chandler decide to adopt children instead of getting a donor.,Ben Weiss,7.8,Chandler,#d8873a
9,23,The One in Barbados,Chandler gives advice to David but that makes David want to propose to Phoebe. Although Phoebe is still in love with Mike. Monica calls Mike who shows up there right in the middle of David's proposal. Mike proposes instead. Phoebe gets back together with Mike but doesn't accept his proposal. Monica's hair gets all poofy after getting off the plane. Charlie and Ross enjoy themselves when rewriting Ross's speech. Rachel keeps changing her mind on when to tell Joey that she has feelings for him.,Kevin Bright,8.5,Ross,#85a2be
9,24,The One in Barbados,Charlie dumps Joey for Ross. Rachel finally tells Joey that she has had feelings for him. Joey doesn't want to proceed with Rachel because he couldn't do that to Ross. But after he sees Charlie and Ross kissing he heads upstairs to share a romantic kiss with Rachel. Monica's hair keeps growing. Monica and Mike compete in an unfriendly way.,Kevin Bright,8.6,Joey,#76a47d
10,1,The One After Joey and Rachel Kiss,Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,Kevin Bright,8.5,Ross,#85a2be
10,2,The One Where Ross Is Fine,Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,Ben Weiss,8.8,Ross,#85a2be
10,3,The One with Ross's Tan,Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,Gary Halvorson,8.8,Rachel,#eab913
10,4,The One with the Cake,On Emma's first birthday Ross and Rachel convince everyone to delay their plans so they can attend her party however plans go awry when Emma's birthday cake is revealed.,Gary Halvorson,8.3,Rachel,#eab913
10,5,The One Where Rachel's Sister Babysits,Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,Roger Christiansen,8.2,Rachel,#eab913
10,6,The One with Ross' Grant,Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,Ben Weiss,8.2,Ross,#85a2be
10,7,The One with the Home Study,Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,Kevin Bright,8.3,Phoebe,#B88194
10,8,The One with the Late Thanksgiving,Joey Ross Rachel and Phoebe convince Monica and Chandler to host Thanksgiving however the four of them end up arriving to dinner an hour late.,Gary Halvorson,8.9,Chandler,#d8873a
10,9,The One with the Birth Mother,Nervous and excited Monica and Chandler travel to Ohio to meet a young pregnant woman Erica Simmons who is considering allowing them to adopt her child when it's born.,David Schwimmer,8.6,Joey,#76a47d
10,10,The One Where Chandler Gets Caught,Chandler and Monica have decided they want to raise their offspring in a suburban house and even find a perfect one in Westchester. Rachel and Phoebe see Chandler enter a car with his realtor Nancy and think he's cheating on Monica. After that misunderstanding is cleared the other Friends are shocked the couple wants to leave Manhattan and everybody starts reminiscing about living in New York as a gang until Nancy calls about their bid on the house.,Gary Halvorson,8.0,Monica,#be0a09
10,11,The One Where the Stripper Cries,Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,Kevin Bright,9.0,Ross,#85a2be
10,12,The One with Phoebe's Wedding,Chaos ensues as Phoebe and Mike prepare to get married.,Kevin Bright,8.9,Phoebe,#B88194
10,13,The One Where Joey Speaks French,Phoebe tries to teach Joey to speak French for an audition. Ross and Rachel head out to Long Island after her dad has a heart attack.,Gary Halvorson,8.5,Ross,#85a2be
10,14,The One with Princess Consuela,When Phoebe goes to get her name changed she realizes she can change it to anything she wants so she changes it to Princess Consuela Banana Hammock to Mike's displeasure. Chandler finds out that Monica never changed her last name. Monica and Chandler take Joey to their house to convince him it is a good move and he tries to find anything wrong with the house so they won't buy it. Rachel goes to a job interview at a restaurant but her current boss is sitting right beyond her costing her her job at Ralph Lauren. When cleaning out her office she bumps into Mark who takes her for dinner to discuss a job offer for her. And Ross got tenure.,Gary Halvorson,8.6,Joey,#76a47d
10,15,The One Where Estelle Dies,Ross tries to get Rachel to go back to Ralph Lauren. Joey doesn't know that his agent has died and Monica and Chandler bump into Janice.,Gary Halvorson,8.5,Ross,#85a2be
10,16,The One with Rachel's Going Away Party,The gang throws Rachel a goodbye party during which she says goodbye to everybody individually.,Gary Halvorson,8.9,Monica,#be0a09
10,17,The Last One: Part 1,Erica gives birth to the baby that Monica and Chandler are adopting. However there's one small added surprise. Meanwhile Ross and Rachel sleep together one last time before Rachel leaves to start a new life in Paris but Ross realises that he still loves her.,Kevin Bright,9.5,Joey,#76a47d
10,18,The Last One: Part 2,Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house and Joey buys Chandler a new chick and duck as a leaving present.,Kevin Bright,9.7,Rachel,#eab913
