Season,Episode,Title,Abstract,Director,Rating,Character,Colour
2,9,The One with Phoebe's Dad,Phoebe tracks down her father but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.,Kevin Bright,8.0,Phoebe,#B88194
2,10,The One with Russ,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,Thomas Schlamme,8.0,Monica,#be0a09
2,11,The One with the Lesbian Wedding,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,Thomas Schlamme,8.1,Phoebe,#B88194
2,12,The One After the Superbowl: Part 1,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,Michael Lembeck,8.6,Phoebe,#B88194
2,13,The One After the Superbowl: Part 2,Ross finds Marcel on the set of a new movie where Chandler bumps into a former schoolmate. Meanwhile Rachel and Monica compete for the affections of Jean-Claude Van Damme.,Michael Lembeck,8.8,Chandler,#d8873a
2,14,The One with the Prom Video,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,James Burrows,9.4,Ross,#85a2be
2,15,The One Where Ross and Rachel... You Know,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,Michael Lembeck,8.9,Ross,#85a2be
2,16,The One Where Joey Moves Out,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,Michael Lembeck,8.6,Joey,#76a47d
2,17,The One Where Eddie Moves In,Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song 'Smelly Cat'. Ross and Monica clash when he is always at her and Rachel's apartment.,Michael Lembeck,8.3,Phoebe,#B88194
2,18,The One Where Dr. Ramoray Dies,Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior while Ross and Rachel compare their past lovers as do Richard and Monica.,Michael Lembeck,8.5,Chandler,#d8873a
2,19,The One Where Eddie Won't Go,Chandler demands that Eddie move out however he doesn't seem to get the message. Meanwhile a book on empowerment for women inspires the girls. In order to pay his bills Ross convinces Joey to audition for a role he doesn't want.,Michael Lembeck,8.6,Joey,#76a47d
2,20,The One Where Old Yeller Dies,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,Michael Lembeck,8.2,Ross,#85a2be
2,21,The One with the Bullies,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,Michael Lembeck,8.2,Phoebe,#B88194
2,22,The One with the Two Parties,Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party so the gang has to find ways to keep her parents separated otherwise they'll start fighting.,Michael Lembeck,9.0,Rachel,#eab913
2,23,The One with the Chicken Pox,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,Michael Lembeck,8.1,Phoebe,#B88194
2,24,The One with Barry and Mindy's Wedding,Rachel reluctantly agrees to be maid of honor at her ex-fianc̩ Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,Michael Lembeck,8.2,Rachel,#eab913
3,1,The One with the Princess Leia Fantasy,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,Gail Mancuso,8.4,Joey,#76a47d
3,2,The One Where No One's Ready,A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum while Joey and Chandler clash over personal belongings and personal space.,Gail Mancuso,9.0,Ross,#85a2be
