totalCount,Monica,Ross,Rachel,Joey,Chandler,Phoebe,MonicaCount,RossCount,RachelCount,JoeyCount,ChandlerCount,PhoebeCount
193.4,29.159999999999997,35.629999999999995,26.769999999999992,31.82,35.86,34.15999999999999,882,975,852,643,834,650
170.06999999999996,35.73999999999999,35.169999999999995,23.349999999999994,24.709999999999997,32.18999999999999,18.91,797,909,811,654,784,666
186.59999999999997,25.04,33.579999999999984,33.540000000000006,25.159999999999997,39.59999999999998,29.67999999999999,860,1076,929,780,842,793
188.84,26.40999999999999,29.189999999999987,29.460000000000004,37.34,32.31999999999999,34.12,820,861,967,844,983,734
202.95999999999995,31.709999999999987,29.51,33.349999999999994,35.92999999999999,42.06999999999999,30.389999999999983,914,870,918,942,948,816
198.29999999999995,45.02000000000001,31.579999999999988,34.63999999999999,27.89999999999998,33.2,25.959999999999987,910,913,993,911,1040,792
203.15999999999997,41.53,28.5,44.31999999999998,32.50000000000001,36.75999999999999,19.54999999999999,907,822,1093,939,849,810
199.92,23.61999999999999,37.71,42.71,38.8,30.919999999999987,26.15999999999999,812,984,1086,909,677,773
210.73999999999992,31.98,36.31999999999998,33.72999999999999,40.58999999999998,38.21999999999998,29.9,908,879,904,859,918,800
183.36999999999995,32.98999999999999,30.859999999999985,34.429999999999986,31.92999999999999,25.999999999999996,27.159999999999997,687,871,775,727,693,702
